,access_time,bytes_in,bytes_out,source_ip,dest_ip,dest_port,country_code,fingerprint,dna
0,2024-04-25T23:00:00Z,5602.0,12990.0,147.161.161.82,10.138.69.97,443.0,AE,"From United Arab Emirates, at 11:00:PM, accessed port 443.0, sent more data out than recieved",02fa0b0a340123bed23cc706146946bd1175a6c7295d408aedaac40910f7ecdf
1,2024-04-25T23:00:00Z,30912.0,18186.0,165.225.33.6,10.138.69.97,443.0,US,"From United States, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",856f711f6f4d6b800eeee46285089d8721ee969955e534dae6fad99968701728
2,2024-04-25T23:00:00Z,28506.0,13468.0,165.225.212.255,10.138.69.97,443.0,CA,"From Canada, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",4e1fdb341d400351342110f48cf6546b68cf2b6bbeb733b539bc84e437502a43
3,2024-04-25T23:00:00Z,30546.0,14278.0,136.226.64.114,10.138.69.97,443.0,US,"From United States, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",856f711f6f4d6b800eeee46285089d8721ee969955e534dae6fad99968701728
4,2024-04-25T23:00:00Z,6526.0,13892.0,165.225.240.79,10.138.69.97,443.0,NL,"From Netherlands, at 11:00:PM, accessed port 443.0, sent more data out than recieved",8972f47b92de3a118366ca53dc1fb3c8f616658da81e2401ac695cbfb881a8d1
5,2024-04-25T23:00:00Z,3906.0,3488.0,136.226.77.103,10.138.69.97,443.0,CA,"From Canada, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",4e1fdb341d400351342110f48cf6546b68cf2b6bbeb733b539bc84e437502a43
6,2024-04-25T23:00:00Z,17748.0,29208.0,165.225.26.101,10.138.69.97,443.0,DE,"From Germany, at 11:00:PM, accessed port 443.0, sent more data out than recieved",56d76083f972488fa7824df7bbddee385fa5340b72fc4dccd73d79883ff6bb87
7,2024-04-25T23:00:00Z,4767917.0,291520.0,155.91.45.242,10.138.69.97,443.0,US,"From United States, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",856f711f6f4d6b800eeee46285089d8721ee969955e534dae6fad99968701728
8,2024-04-25T23:00:00Z,10538.0,15514.0,165.225.209.4,10.138.69.97,443.0,CA,"From Canada, at 11:00:PM, accessed port 443.0, sent more data out than recieved",898cd2a4f94b8d06a0f4d5e561d9e86dcf5f1d626fb214a62071f0d7f9458da4
9,2024-04-25T23:00:00Z,9656.0,6380.0,147.161.131.1,10.138.69.97,443.0,AT,"From Austria, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",2f941144891c7679a553afac16260631941c4de3d16c8ad142068c4b3869f4bc
10,2024-04-25T23:10:00Z,57208.0,32874.0,165.225.33.6,10.138.69.97,443.0,US,"From United States, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",a469d902c6c1c1d9c14908e74bd3144bd3326d0f5de8a0ab6483d3b43831a195
11,2024-04-25T23:10:00Z,18162.0,30492.0,136.226.67.101,10.138.69.97,443.0,US,"From United States, at 11:10:PM, accessed port 443.0, sent more data out than recieved",7b41eeaaeb37f42e17cae0f2dade262b1e3408d3d66e304a7f2bd3c8d7bd8d6a
12,2024-04-25T23:10:00Z,28056.0,4832.0,165.225.212.255,10.138.69.97,443.0,CA,"From Canada, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",584aa6c28127a7ccd7fa9015fccfb5e52fdb218c647e115aad68e7c6a9db540e
13,2024-04-25T23:10:00Z,73752.0,18924.0,136.226.64.114,10.138.69.97,443.0,US,"From United States, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",a469d902c6c1c1d9c14908e74bd3144bd3326d0f5de8a0ab6483d3b43831a195
14,2024-04-25T23:10:00Z,4080.0,11282.0,94.188.248.74,10.138.69.97,443.0,IL,"From Israel, at 11:10:PM, accessed port 443.0, sent more data out than recieved",77c16c7d9eae53fc048cee1c19e71b2a0b53af1ed7da391bc160745b3176ddba
15,2024-04-25T23:10:00Z,1968903.0,38773.0,165.225.240.79,10.138.69.97,443.0,NL,"From Netherlands, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",08b6048642fa863fe12d7f9863abdc81c0619ba7be34436fbd1cbdc4153b7466
16,2024-04-25T23:10:00Z,6958.0,12854.0,136.226.77.103,10.138.69.97,443.0,CA,"From Canada, at 11:10:PM, accessed port 443.0, sent more data out than recieved",dccead32ce1302d475504d0be91bf8f864fdb716a9f8cc86360d414ce0966f8c
17,2024-04-25T23:10:00Z,8310.0,6276.0,165.225.26.101,10.138.69.97,443.0,DE,"From Germany, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",9f410dcac4b5eb31d4990fc1ecc8363ccc5f44fbe4a273cf298e635056e5c707
18,2024-04-25T23:10:00Z,4804723.0,291088.0,155.91.45.242,10.138.69.97,443.0,US,"From United States, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",a469d902c6c1c1d9c14908e74bd3144bd3326d0f5de8a0ab6483d3b43831a195
19,2024-04-25T23:10:00Z,11820.0,24620.0,165.225.209.4,10.138.69.97,443.0,CA,"From Canada, at 11:10:PM, accessed port 443.0, sent more data out than recieved",dccead32ce1302d475504d0be91bf8f864fdb716a9f8cc86360d414ce0966f8c
20,2024-04-25T23:10:00Z,8206.0,6068.0,147.161.131.1,10.138.69.97,443.0,AT,"From Austria, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",05a68f12db34a165a0275f87866808f044c86f6b598e5471ae7d49190df99abc
21,2024-04-25T23:20:00Z,29356.0,17408.0,165.225.33.6,10.138.69.97,443.0,US,"From United States, at 11:20:PM, accessed port 443.0, recieved more data in than sent out",026b8334c85198a851e5497887a75795df53b51913311b29c24f2d32da2512e5
22,2024-04-25T23:20:00Z,26178.0,33801.0,136.226.67.101,10.138.69.97,443.0,US,"From United States, at 11:20:PM, accessed port 443.0, sent more data out than recieved",870be20c2d0627cdbdff8df89d844270463bf96f36499ad3f15c287b4b3987e7
23,2024-04-25T23:20:00Z,29308.0,15652.0,165.225.213.7,10.138.69.97,443.0,CA,"From Canada, at 11:20:PM, accessed port 443.0, recieved more data in than sent out",b5c763c8d7b94cf7ffac84bc54482b609e59a2a0185170036b5b85f573ce3437
24,2024-04-25T23:20:00Z,60068.0,12628.0,136.226.64.114,10.138.69.97,443.0,US,"From United States, at 11:20:PM, accessed port 443.0, recieved more data in than sent out",026b8334c85198a851e5497887a75795df53b51913311b29c24f2d32da2512e5
25,2024-04-25T23:20:00Z,4043.0,7629.0,165.225.240.79,10.138.69.97,443.0,NL,"From Netherlands, at 11:20:PM, accessed port 443.0, sent more data out than recieved",29e5ed809b2dea76bd05ba7f14c4662cd1d2c6d31101ad8206734cf60016df2f
26,2024-04-25T23:20:00Z,3102.0,11038.0,165.225.8.79,10.138.69.97,443.0,US,"From United States, at 11:20:PM, accessed port 443.0, sent more data out than recieved",870be20c2d0627cdbdff8df89d844270463bf96f36499ad3f15c287b4b3987e7
27,2024-04-25T23:20:00Z,8310.0,6070.0,165.225.26.101,10.138.69.97,443.0,DE,"From Germany, at 11:20:PM, accessed port 443.0, recieved more data in than sent out",f256ec60ddf0ff5a052ba57e8ef425dbac53519e4a9db10cfe6f254d8e44673d
