Behaviour,DNA,Count
"From Israel, at 08:10:AM, accessed port 443.0, recieved more data in than sent out",8157d598eb1c4c589193b1ac102ef4f79ca7d60c1cea1507d11c0e3f2f7eefe8,1
"From United States, at 08:40:AM, accessed port 443.0, sent more data out than recieved",814d10dd102d600af9a8256e4999051980d7d7234e633fca252e2202ed6a1f63,1
"From United States, at 09:10:AM, accessed port 443.0, sent more data out than recieved",80e9756c9c37053faf3d35ddcb76afb9f067da779ce3c369c0717c06674ec934,1
"From United Arab Emirates, at 01:00:AM, accessed port 443.0, recieved more data in than sent out",7f7fbbd830090746e2f336d4c6cc87debac1a52314b0ff1aed6948708b46d69f,1
"From Austria, at 01:40:AM, accessed port 443.0, sent more data out than recieved",7c71be2c6931367981b18b57a0289dec7c7527cc08f8c4a7ec8e11af16e57e8c,1
"From United States, at 01:10:AM, accessed port 443.0, recieved more data in than sent out",7d60f3bfe0b5dd790e3fcf806abf875fce7facf77084ff5a59ec5fe2953df415,1
"From United States, at 11:10:PM, accessed port 443.0, sent more data out than recieved",7b41eeaaeb37f42e17cae0f2dade262b1e3408d3d66e304a7f2bd3c8d7bd8d6a,1
"From United States, at 12:20:AM, accessed port 443.0, sent more data out than recieved",7c288d37714d2164af6c5522ef1b7dc04ce3e81b6e04c453f6e148e6a0233d37,1
"From United States, at 01:00:AM, accessed port 443.0, recieved more data in than sent out",766e455022ed86c0fbb6cc959438ea0931b5e7b094b82d94c06f3260f6ae1dbe,1
"From Israel, at 11:40:PM, accessed port 443.0, sent more data out than recieved",760c5394f0a42c3dd7add489acfc527d31999571bd0387407c74b9251409c82e,1
"From Germany, at 01:30:AM, accessed port 443.0, recieved more data in than sent out",79c10c3ead743d0070a2dd0638b922de35924b80baedee77e1479deb696c5a8b,1
"From Israel, at 11:10:PM, accessed port 443.0, sent more data out than recieved",77c16c7d9eae53fc048cee1c19e71b2a0b53af1ed7da391bc160745b3176ddba,1
"From Canada, at 01:10:AM, accessed port 443.0, recieved more data in than sent out",886e95fef263fabd10bf14eba997856789ad647a491edc262db71da214057105,1
"From Canada, at 09:10:AM, accessed port 443.0, sent more data out than recieved",84a1489551eaff5400d68745ba50f6f32c8e483c0a229311e818f12cd25546c9,1
